电影名称,导演,电影类型,国家,上映年份,评分,评论人数
海上钢琴师,朱塞佩·托纳多雷,剧情/音乐,意大利,1998,9.3,1780787
三傻大闹宝莱坞,拉吉库马尔·希拉尼,剧情/喜剧/爱情/歌舞,印度,2009,9.2,1967596
放牛班的春天,克里斯托夫·巴哈蒂,剧情/音乐,法国 / 瑞士 / 德国,2004,9.3,1395534
机器人总动员,安德鲁·斯坦顿,科幻/动画/冒险,美国,2008,9.3,1400711
疯狂动物城,拜伦·霍华德,喜剧/动画/冒险,美国,2016,9.2,2096355
无间道,刘伟强,剧情/惊悚/犯罪,中国香港,2002,9.3,1467727
控方证人,比利·怀尔德,剧情/悬疑/惊悚/犯罪,美国,1957,9.6,640294
大话西游之大圣娶亲,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.2,1621737
熔炉,黄东赫,剧情,韩国,2011,9.3,987054
教父,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1972,9.3,1038050
触不可及,奥利维埃·纳卡什,剧情/喜剧,法国,2011,9.3,1209155
寻梦环游记,李·昂克里奇,喜剧/动画/音乐/奇幻,美国,2017,9.1,1823363
当幸福来敲门,加布里埃莱·穆奇诺,剧情/家庭/传记,美国,2006,9.2,1606876
末代皇帝,贝纳尔多·贝托鲁奇,剧情/传记/历史,英国 / 意大利 / 中国大陆 / 法国,1987,9.3,960311
龙猫,宫崎骏,动画/奇幻/冒险,日本,1988,9.2,1342210
哈利·波特与魔法石,克里斯·哥伦布,奇幻/冒险,美国 / 英国,2001,9.2,1313960
怦然心动,罗伯·莱纳,剧情/喜剧/爱情,美国,2010,9.1,1945410
活着,张艺谋,剧情/家庭/历史,中国大陆 / 中国香港,1994,9.3,911997
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2008,9.2,1131644
指环王3：王者无敌,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2003,9.3,858339
我不是药神,文牧野,剧情/喜剧,中国大陆,2018,9.0,2232983
乱世佳人,维克多·弗莱明,剧情/爱情/历史/战争,美国,1939,9.3,740100
飞屋环游记,彼特·道格特,剧情/喜剧/动画/冒险,美国,2009,9.1,1413091
素媛,李濬益,剧情,韩国,2013,9.3,734336
哈尔的移动城堡,宫崎骏,爱情/动画/奇幻/冒险,日本,2004,9.1,1188075
让子弹飞,姜文,剧情/喜剧/动作/西部,中国大陆 / 中国香港,2010,9.0,1812975
十二怒汉,西德尼·吕美特,剧情,美国,1957,9.4,537275
海蒂和爷爷,阿兰·葛斯彭纳,剧情/家庭/冒险,德国 / 瑞士,2015,9.3,700298
何以为家,娜丁·拉巴基,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,2018,9.1,1110333
猫鼠游戏,史蒂文·斯皮尔伯格,剧情/传记/犯罪,美国 / 加拿大,2002,9.1,1121197
摔跤吧！爸爸,涅提·蒂瓦里,剧情/家庭/传记/运动,印度,2016,9.0,1657876
天空之城,宫崎骏,动画/奇幻/冒险,日本,1986,9.2,949402
鬼子来了,姜文,剧情/喜剧,中国大陆,2000,9.3,671754
少年派的奇幻漂流,李安,剧情/奇幻/冒险,美国 / 中国台湾 / 英国 / 加拿大,2012,9.1,1422405
钢琴家,罗曼·波兰斯基,剧情/音乐/传记/战争,英国 / 法国 / 波兰 / 德国 / 美国,2002,9.3,698317
